UniverseId,Name,Genre,Created Date,Updated Date,Max Players,Playability Status,Is Experimental,Price,Visits,Developer,Thumbnail URL,PlayerCount,Upvotes,Downvotes
5885971085,Age of Titans,Fighting,2024-04-18T13:16:15.613Z,2024-12-14T23:49:37.4301114Z,15,N/A,False,,3148671,Age Of Titans (Official),N/A,5837,7359,1023
6470316629,Plinko RNG 💸,All,2024-08-25T22:35:29.113Z,2024-12-14T05:38:31.4766461Z,15,N/A,False,,3882760,Express Games Make,N/A,1236,47169,2574
6543531482,Road Rage Simulator,All,2024-09-12T11:24:12.92Z,2024-12-13T20:24:46.207646Z,10,N/A,False,,4748520,Gamefast,N/A,1901,29452,892
1424449565,🎃 Super Golf!,Sports,2019-11-29T02:42:56.88Z,2024-10-31T04:18:45.303Z,20,N/A,False,,210762934,Nosniy Games,N/A,1384,278988,72020
4165164803,[🎄] Clip It 😂🎬👗,All,2022-12-07T18:55:28.077Z,2024-12-14T01:02:28.4725653Z,32,N/A,False,,114959657,Neura,N/A,4539,57671,17318
6710779449,Short Creepy Horror Stories [Christmas],All,2024-10-24T00:17:19.74Z,2024-11-30T19:57:16.927Z,30,N/A,False,,6820374,kharbor_ykt,N/A,2166,2650,595
6221848978,"[UK:RP] Eurotunnel, Le Shuttle ",All,2024-07-06T00:18:34.737Z,2024-12-14T20:40:09.1673463Z,40,N/A,False,,1517620,Eurotunnel | Le Shuttle |,N/A,762,18231,2005
1393178180,[❄️☃️] Polish Car Driving,Town and City,2019-11-04T18:56:09.773Z,2024-12-15T00:04:18.2732923Z,36,N/A,False,,44295844,Polish Car Driving | Official Group,N/A,341,55168,9561
6243984455,Risky Haul,All,2024-07-10T08:08:31.207Z,2024-12-13T02:36:35.577Z,8,N/A,False,,8933725,Flame Inc...,N/A,1194,17321,5236
6707883359,Ultimate Horse Race [ Xmas🎅],All,2024-10-23T02:47:05.173Z,2024-12-13T10:22:40.557Z,12,N/A,False,,3248832,Horse Race Champion,N/A,2784,3605,267
2153167977,[UPDATE!] Formula Apex Racing,Sports,2020-11-19T20:52:10.497Z,2024-12-10T22:13:20.783Z,5,N/A,False,,58976421,Project:Apex,N/A,721,64644,9249
2682938349,❄️⛄ Wild Horse Islands,Adventure,2021-06-22T16:46:19.733Z,2024-12-14T03:56:59.9766923Z,25,N/A,False,,441830064,Happy Acres,N/A,4768,197817,17979
1230230722,Club Roblox RP 🏡,RPG,2019-07-12T12:05:01.103Z,2024-12-13T15:20:03.8943856Z,50,N/A,False,,2611075859,Block Evolution Studios,N/A,6381,878582,87006
4858558391,[UPD🩻] Terminal [Escape Room] 🕵️,All,2023-07-11T04:53:44.857Z,2024-12-14T23:58:33.3460519Z,15,N/A,False,,16256832,CCF Studios,N/A,1533,42346,5981
1073273083,Cook Burgers,Town and City,2019-03-17T17:01:00.107Z,2024-12-07T10:54:13.93Z,6,N/A,False,,560588401,Sssqd,N/A,2718,455278,101582
